Champion_1_Number,Champion_2_Number,Champion_3_Number,Champion_4_Number,Champion_5_Number,Champion_Banned_Number1,Champion_Banned_Number2,Champion_Banned_Number3,Champion_Banned_Number4,Champion_Banned_Number5,Team_Number,Opponent_Team_Number,Side_Number,opponent_Champion_1_Number,opponent_Champion_2_Number,opponent_Champion_3_Number,opponent_Champion_4_Number,opponent_Champion_5_Number,opponent_Champion_Banned_Number1,opponent_Champion_Banned_Number2,opponent_Champion_Banned_Number3,opponent_Champion_Banned_Number4,opponent_Champion_Banned_Number5,vspm_rolling,teamkills_rolling,teamdeaths_rolling,earned_gpm_rolling,opponent_vspm_rolling,opponent_teamkills_rolling,opponent_teamdeaths_rolling,opponent_earned_gpm_rolling,result
17,2,58,91,156,64,100,8,123,3,89,136,0,25,51,13,81,36,118,141,76,140,68,9,10,8,1101,8,7,13,990,0
17,23,124,140,162,39,51,2,80,71,39,80,0,11,67,86,149,118,95,50,100,97,37,7,15,13,1170,8,14,11,1214,1
17,39,49,81,154,158,138,7,68,82,94,99,0,1,71,79,57,145,51,152,2,142,55,7,10,12,1118,7,14,8,1266,1
4,39,82,149,162,9,95,74,65,31,356,347,1,56,71,62,117,70,81,141,86,12,126,7,17,9,1210,7,17,12,1250,1
12,9,17,88,68,43,81,118,7,18,18,15,0,8,39,74,149,162,36,51,62,139,67,7,13,19,1022,7,20,13,1302,1
3,39,17,149,145,20,2,85,64,92,401,138,0,43,99,61,140,89,75,72,51,162,63,7,12,20,1071,7,8,21,973,0
1,2,72,75,162,88,99,43,68,63,7,9,1,5,51,17,143,145,61,149,65,20,8,7,22,15,1350,6,17,16,1301,1
7,51,74,140,144,36,2,100,31,17,352,347,0,25,24,106,81,127,3,64,141,4,28,6,17,10,1286,6,12,17,1039,0
3,102,17,90,36,43,75,20,68,89,98,102,1,8,83,13,106,145,72,51,23,149,63,8,15,8,1366,7,18,14,1376,1
53,39,28,50,162,94,94,94,94,94,335,331,0,10,46,82,149,68,94,94,94,94,94,8,7,17,993,8,8,18,1034,0
3,83,13,143,70,95,39,65,12,4,382,301,0,8,51,79,57,159,2,50,9,46,98,6,19,21,1099,6,19,21,1099,0
3,85,17,88,89,162,51,72,95,99,22,37,1,43,39,18,75,68,61,20,64,9,58,7,18,17,1202,7,16,20,1123,1
15,39,28,81,145,2,70,62,17,18,113,114,0,4,95,86,149,162,64,12,36,102,82,7,11,14,1081,7,9,19,977,0
5,20,124,117,55,75,68,62,86,72,390,395,1,11,95,82,143,70,25,23,3,77,4,8,14,9,1285,9,15,6,1400,1
17,71,62,76,138,81,36,2,9,8,89,90,1,25,46,82,50,144,118,141,100,95,39,9,20,7,1343,8,14,11,1173,1
49,100,8,149,144,6,82,19,22,28,20,19,1,1,2,123,76,138,81,51,50,11,95,7,9,5,1115,7,18,11,1201,1
25,46,86,149,62,2,95,162,102,16,181,321,1,4,39,9,50,144,141,81,120,68,159,7,12,25,1019,7,9,17,954,0
8,39,62,88,89,147,75,95,117,63,48,418,0,1,71,61,87,154,46,149,72,68,20,8,14,13,1167,8,14,12,1198,0
8,67,17,134,162,95,51,81,82,16,119,130,1,25,110,74,140,118,100,49,62,36,68,7,15,5,1306,7,12,5,1226,1
8,95,50,149,162,10,61,62,157,1,268,274,0,11,39,72,117,142,17,97,88,86,82,7,10,11,1218,8,14,14,1154,0
8,2,64,50,154,43,81,72,58,28,311,304,1,5,66,61,75,68,149,88,89,3,1,7,14,16,1157,7,14,16,1157,0
15,51,74,81,68,50,141,82,5,64,76,75,0,8,39,58,76,138,49,152,57,12,28,7,17,9,1308,7,17,9,1308,1
2,101,120,117,144,82,75,149,65,95,347,380,1,3,71,91,81,68,118,9,39,74,73,6,13,16,1088,6,10,17,992,0
7,97,36,134,142,95,141,17,152,118,134,127,1,15,51,49,81,156,158,138,3,90,50,5,7,20,871,6,8,15,930,0
11,9,60,140,118,43,106,75,149,88,52,63,1,33,39,36,90,68,141,7,81,154,162,7,17,10,1152,7,11,14,1075,1
18,65,62,118,154,100,16,147,58,51,313,310,0,9,2,17,90,145,36,81,141,95,39,7,24,17,1273,7,16,18,1179,0
3,20,82,76,138,147,95,158,4,97,254,250,1,12,39,62,117,68,61,50,157,65,124,6,13,19,1117,6,14,18,1186,0
8,2,86,50,63,75,61,17,151,147,242,231,0,3,89,64,76,154,20,88,149,58,28,8,18,5,1292,8,15,7,1220,1
4,104,58,149,162,103,89,50,145,159,454,457,0,20,65,126,117,144,97,68,1,80,99,6,16,14,1250,6,23,12,1337,1
8,2,126,140,62,9,17,100,58,13,67,78,1,16,67,33,149,68,51,95,1,12,15,8,17,13,1289,7,16,11,1169,1
1,39,62,117,63,51,9,2,124,72,392,395,0,10,71,3,143,159,95,23,94,144,152,7,16,11,1273,7,21,4,1530,1
1,37,122,149,68,94,94,94,94,94,342,338,1,15,46,102,117,63,94,94,94,94,94,8,11,16,1169,7,4,13,896,0
7,2,77,140,158,51,141,100,16,8,180,169,0,17,95,86,76,138,49,118,123,58,1,6,16,20,1117,6,8,20,952,0
3,51,82,139,162,24,43,2,8,7,304,300,0,1,95,123,118,152,141,17,81,156,68,6,5,21,894,8,17,14,1178,0
20,96,49,88,68,75,51,89,154,142,1,9,0,11,71,86,117,145,147,85,152,12,2,7,22,13,1311,7,21,17,1244,1
11,97,88,90,145,81,61,62,162,68,65,432,0,18,51,72,149,118,3,20,89,154,58,6,18,10,1293,6,16,14,1233,1
16,2,74,81,118,39,100,58,8,7,105,92,1,3,51,22,134,152,141,76,158,28,123,8,4,14,990,7,7,18,963,0
7,39,123,81,145,49,2,51,141,57,191,202,0,3,100,102,118,162,28,76,158,12,8,6,15,16,1085,7,11,14,1063,0
6,80,122,143,154,95,46,9,126,86,61,62,0,7,65,102,81,70,141,50,149,4,12,7,16,8,1249,7,14,17,1104,1
43,39,46,140,148,2,51,141,8,28,192,191,1,12,95,131,90,36,100,118,17,156,68,9,24,12,1392,8,18,15,1347,1
20,67,17,143,162,1,89,88,63,68,224,311,0,5,2,72,149,145,85,51,43,75,35,7,20,11,1332,6,14,15,1143,1
1,102,75,140,63,95,82,89,162,142,77,78,1,8,51,64,88,68,99,126,149,106,2,8,15,7,1364,7,13,15,1210,1
3,89,17,81,63,20,118,99,11,18,373,236,1,25,101,22,88,68,51,114,64,154,162,6,19,11,1362,6,22,7,1457,1
8,2,49,76,138,51,1,123,17,82,93,30,1,9,39,58,81,118,3,100,50,16,25,7,15,9,1252,6,8,16,951,0
1,107,64,83,150,2,68,39,58,7,302,307,1,21,46,123,117,161,118,9,149,75,13,8,17,23,1160,7,18,16,1292,1
1,85,17,88,89,61,72,2,81,118,30,35,0,3,51,75,139,68,162,157,39,4,63,7,19,8,1458,8,23,7,1484,1
1,51,17,149,145,89,95,75,81,50,86,93,1,3,85,64,90,68,2,88,72,4,162,8,16,14,1178,8,16,14,1178,1
5,51,64,149,154,61,86,162,85,63,42,48,1,8,89,75,88,145,2,72,117,1,68,8,16,12,1230,8,13,12,1231,0
16,89,72,75,145,91,88,43,71,74,224,221,1,8,46,64,81,68,85,51,149,11,20,7,13,12,1198,7,14,14,1191,1
17,51,49,90,118,36,81,22,134,64,189,199,1,3,95,123,141,152,15,158,2,153,91,8,16,15,1176,7,10,10,1128,1
3,20,88,147,153,95,75,37,117,157,181,205,0,9,71,72,149,154,17,61,28,68,142,7,22,10,1472,7,19,6,1468,1
3,39,64,81,68,51,100,118,123,144,210,223,0,8,95,28,50,36,1,19,2,140,141,7,16,4,1311,7,14,13,1078,1
5,89,126,88,162,61,57,95,68,63,486,391,0,8,65,64,149,145,20,43,51,39,46,7,9,16,985,8,24,18,1355,0
