Champion_1_Number,Champion_2_Number,Champion_3_Number,Champion_4_Number,Champion_5_Number,Champion_Banned_Number1,Champion_Banned_Number2,Champion_Banned_Number3,Champion_Banned_Number4,Champion_Banned_Number5,Team_Number,Opponent_Team_Number,Side_Number,opponent_Champion_1_Number,opponent_Champion_2_Number,opponent_Champion_3_Number,opponent_Champion_4_Number,opponent_Champion_5_Number,opponent_Champion_Banned_Number1,opponent_Champion_Banned_Number2,opponent_Champion_Banned_Number3,opponent_Champion_Banned_Number4,opponent_Champion_Banned_Number5,vspm_rolling,teamkills_rolling,teamdeaths_rolling,earned_gpm_rolling,opponent_vspm_rolling,opponent_teamkills_rolling,opponent_teamdeaths_rolling,opponent_earned_gpm_rolling,result
1,71,122,117,68,94,94,94,94,94,333,334,1,10,46,62,149,162,94,94,94,94,94,7,12,14,1207,6,9,19,977,0
10,65,125,75,89,147,43,79,63,68,258,214,1,5,51,17,88,154,72,118,8,2,85,6,5,20,918,6,20,12,1320,0
87,107,124,76,157,43,89,8,95,46,461,56,0,5,52,86,149,162,65,101,126,97,20,6,18,9,1229,6,16,14,1118,1
54,51,75,117,68,94,94,94,94,94,386,326,1,32,99,124,143,70,94,94,94,94,94,7,15,27,1268,7,15,24,1246,0
25,51,61,75,144,1,117,149,141,143,492,495,0,8,65,126,57,118,151,142,13,63,3,5,11,24,979,5,9,23,948,0
1,2,102,149,36,94,94,94,94,94,341,342,1,9,58,8,147,68,94,94,94,94,94,8,10,15,1087,7,11,13,1156,0
7,2,126,149,162,50,51,36,123,58,288,285,1,3,100,64,117,142,127,81,141,1,18,6,14,13,1188,7,15,18,1136,0
11,65,64,81,154,144,70,2,63,162,306,308,1,13,29,9,88,68,39,46,149,142,12,6,24,20,1171,6,23,23,1172,0
8,80,72,75,89,20,149,99,147,118,365,366,1,1,2,64,117,63,17,71,88,95,46,8,18,6,1440,9,23,9,1481,1
8,2,58,81,118,1,100,158,7,3,94,102,0,15,51,64,140,152,50,76,49,123,6,7,8,12,1036,8,14,5,1217,1
